FIELD,DESCRIPTION,SOURCE,URL1,URL2,URL3,URL4
GEOID,Census Block Group ID (2024),US Census via tidycensus API,,,,
GEOID_TRACT,Census Tract ID (2024),US Census via tidycensus API,,,,
COSUB,County Subdivision (City or Town) Name,US Census via tidycensus API,,,,
COUNTYFP,County Federal ID,US Census via tidycensus API,,,,
PTRAF,Heavy Traffic Proximity Index,US EPA EJScreen 2024,,,,
EXPpctilePTRAF,Heavy Traffic Proximity Index statewide percentile,US EPA EJScreen 2024,,,,
PM25,Annual average PM2.5 concentration in micrograms per cubic meter,U.S. Environmental Protection Agency (EPA) Bayesian Space-time Downscaling Fusion Model (Downscaler),2022,https://www.epa.gov/hesc/rsig-related-downloadable-data-files#output,,
EXPpctilePM25,PM2.5 concentration statewide percentile,,,,,
OZONE,Maximum 8-hour ozone (O3) concentration in parts per billion,U.S. Environmental Protection Agency (EPA) Bayesian Space-time Downscaling Fusion Model (Downscaler),2022,https://www.epa.gov/hesc/rsig-related-downloadable-data-files#output,,
EXPpctileOZONE,Ozone (O3) concentration statewide percentile,,,,,
NO2,Nitrogen dioxide (NO2) average annual concentration in parts per billion,"Nawaz, M. Omar. “Monthly and Annual US TROPOMI Surface NO2 Estimates (~1km × 1km)”. Environmental Science and Technology Air. Zenodo, January 14, 2025. https://doi.org/10.5281/zenodo.14646034.",2024,https://gwu.app.box.com/s/8id0gcje44o9qye1pbe42qw8ce8ioluj?page=4&sortColumn=name&sortDirection=DESC,,
EXPpctileNO2,Nitrogen dioxide (NO2) concentration statewide percentile,,,,,
DWATER,Safe Drinking Water Act (SDWA) compliance performance score of a community water system ,US EPA SDWA Federal Reporting Service (Q4 2021 – Q4 2025),2021 - 2025,https://sdwis.epa.gov/ords/sfdw_pub/r/sfdw/sdwis_fed_reports_public/200,,
EXPpctileDWATER,Safe Drinking Water Act (SDWA) compliance performance score statewide percentile ,,,,,
PWS,Public Water Supplies serving the census block group,MassGIS MassDEP Estimated Public Drinking Water System Service Area Boundaries,2025,https://www.mass.gov/info-details/massgis-data-massdep-estimated-public-drinking-water-system-service-area-boundaries,,
CancerRisk,Cumulative Lifetime Cancer Risk from Exposure to Air Toxics per million people,US EPA AirToxScreen,2020,https://www.epa.gov/AirToxScreen/2020-airtoxscreen-assessment-results,,
EXPpctileCancerRisk,Cumulative Lifetime Cancer Risk from Exposure to Air Toxics statewide percentile,US EPA AirToxScreen,,,,
DSLPM,Diesel particulate matter concentration in micrograms per cubic meter ,US EPA AirToxScreen,2020,https://www.epa.gov/AirToxScreen/2020-airtoxscreen-assessment-results,,
EXPpctileDSLPM,Diesel particulate matter concentration statewide percentile,US EPA AirToxScreen,,,,
Respiratory HI,"Non-Cancer Respiratory Hazard Index, ratio of exposure concentration to a reference concentration",US EPA AirToxScreen,2019,https://www.epa.gov/AirToxScreen/2019-airtoxscreen-assessment-results,,
EXPpctileRespHI,Non-Cancer Respiratory Hazard Index statewide percentile,US EPA AirToxScreen,,,,
cleanup_score,Weighted sum of cleanup sites requiring federal or state oversight for cleanup due to contamination,US EPA OLEM; US EPA ACRES; MassDEP C21E; MassDEP AUL,2024 - 2025,https://edg.epa.gov/data/PUBLIC/OLEM/OLEM-OSRTI/NPL_Boundaries.zip,,
EFFCTpctileCleanup,Weighted sum of cleanup sites statewide percentile,US EPA OLEM; US EPA ACRES; MassDEP C21E; MassDEP AUL,,,,
gwater_score,Weighted sum of groundwater threats,US EPA UST Finder; MassDEP Groundwater Discharge Permits,2018 - 2025,https://epa.maps.arcgis.com/home/item.html?id=5a3ae0ed53564b6fa519f08e30e79e93,,
EFFCTpctileGrndWater,Weighted sum of groundwater threats statewide percentile,US EPA UST Finder; MassDEP Groundwater Discharge Permits,,,,
BWPScore,Weighted sum of hazardous waste facilities,MassDEP Major Facilities,2024,https://www.mass.gov/info-details/massgis-data-massdep-major-facilities,,
EFFCTpctileBWPMAJOR_PT,Weighted sum of hazardous waste facilities statewide percentile,MassDEP Major Facilities,,,,
SWScore,Weighted sum of solid waste facilities,MassDEP Solid Waste Diversion and Disposal,2024,https://www.mass.gov/info-details/massgis-data-massdep-solid-waste-diversion-and-disposal,,
EFFCTpctileSW,Weighted sum of solid waste facilities statewide percentile,MassDEP Solid Waste Diversion and Disposal,,,,
IL_count,Summed number of pollutants across impaired water bodies within the area,MassDEP 2022 Integrated List of Waters (305(b)/303(d)),2022,https://www.mass.gov/info-details/massgis-data-massdep-2022-integrated-list-of-waters-305b303d,,
EFFCTpctileIL,Summed number of pollutants across impaired water bodies statewide percentile,MassDEP 2022 Integrated List of Waters (305(b)/303(d)),,,,
High blood pressure among adults,High blood pressure crude prevalence among adults,CDC PLACES,2025,https://data.cdc.gov/500-Cities-Places/PLACES-Local-Data-for-Better-Health-Census-Tract-D/cwsq-ngmh/about_data,,
SPpctileHPRSSR,High blood pressure crude prevalence statewide percentile,CDC PLACES,,,,
Coronary heart disease among adults,Coronary Heart Disease crude prevalence among adults,CDC PLACES,2025,https://data.cdc.gov/500-Cities-Places/PLACES-Local-Data-for-Better-Health-Census-Tract-D/cwsq-ngmh/about_data,,
SPpctileHRTDIS,Coronary Heart Disease  crude prevalence statewide percentile,CDC PLACES,,,,
Chronic obstructive pulmonary disease among adults,Chronic Obstructive Pulmonary Disease crude prevalence among adults,CDC PLACES,2025,https://data.cdc.gov/500-Cities-Places/PLACES-Local-Data-for-Better-Health-Census-Tract-D/cwsq-ngmh/about_data,,
SPpctileCOPD,Chronic Obstructive Pulmonary Disease  crude prevalence statewide percentile,CDC PLACES,,,,
Cancer (non-skin) or melanoma among adults,Cancer crude prevalence among adults,CDC PLACES,2025,https://data.cdc.gov/500-Cities-Places/PLACES-Local-Data-for-Better-Health-Census-Tract-D/cwsq-ngmh/about_data,,
SPpctileCANCER,Cancer crude prevalence statewide percentile,CDC PLACES,,,,
pedAsthmaPrevalence,Pediatric Asthma Average prevalence (% of school enrollment),MDPH/BEH via DEP,2017 - 2024,https://www.mass.gov/info-details/cumulative-impact-analysis-in-air-quality-permitting#cia-guidance-and-tools-,,
SPpctileAsthmaPed,Pediatric Asthma Average prevalence statewide percentile,MDPH/BEH via DEP,,,,
BLL,Elevated Blood Level prevalence in children (5-year),MDPH via DEP,2017 - 2021,https://www.mass.gov/info-details/cumulative-impact-analysis-in-air-quality-permitting#cia-guidance-and-tools-,,
SPpctileBLL,Elevated Blood Level prevalence in children statewide percentile,MDPH via DEP,,,,
LBW,Low Birth Weight 5-year Annual Average per 100 full-term births,MDPH via DEP,2011 - 2015,https://www.mass.gov/info-details/cumulative-impact-analysis-in-air-quality-permitting#cia-guidance-and-tools-,,
SPpctileLBW,Low Birth Weight 5-year Annual Average statewide percentile,MDPH via DEP,,,,
PMR,"Age-adjusted Premature Mortality Rate per 100,000",MDPH via DEP,2019 - 2023,https://www.mass.gov/info-details/cumulative-impact-analysis-in-air-quality-permitting#cia-guidance-and-tools-,,
SPpctilePMR,Age-adjusted Premature Mortality Rate statewide percentile,MDPH via DEP,,,,
