FIELDNAME,DESCRIPTION,SOURCE,URL1,URL2,URL3,URL4,YEARS
GEOID,Census Block Group ID (2023),US Census via tidycensus API,,,,,2023
GEOID_TRACT,Census Tract ID (2023),US Census via tidycensus API,,,,,2023
COSUB,County Subdivision (City or Town) Name,US Census via tidycensus API,,,,,2023
COUNTYFP,County Federal ID,US Census via tidycensus API,,,,,2023
PM25,Annual average PM2.5 concentration in micrograms per cubic meter,US EPA EJScreen 2024,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RLR5AX,https://www.epa.gov/hesc/rsig-related-downloadable-data-files#output,,,2021
EXPpctilePM25,PM2.5 concentration statewide percentile,US EPA EJScreen 2024,,,,,2021
OZONE,Maximum 8-hour ozone (O3) concentration in parts per billion,US EPA EJScreen 2024,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RLR5AX,https://www.epa.gov/hesc/rsig-related-downloadable-data-files#output,,,2021
EXPpctileOZONE,Ozone (O3) concentration statewide percentile,US EPA EJScreen 2024,,,,,2021
DSLPM,Diesel particulate matter concentration in micrograms per cubic meter ,US EPA EJScreen 2024,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RLR5AX,,,,2020
EXPpctileDSLPM,Diesel particulate matter concentration statewide percentile,US EPA EJScreen 2024,,,,,2020
NO2,Nitrogen dioxide (NO2) average annual concentration in parts per billion,US EPA EJScreen 2024,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RLR5AX,https://disc.gsfc.nasa.gov/datasets/SFC_NITROGEN_DIOXIDE_CONC_1/summary?keywords=TROPOMI%20NO2,,,2020
EXPpctileNO2,Nitrogen dioxide (NO2) concentration statewide percentile,US EPA EJScreen 2024,,,,,2020
PTRAF,Heavy Traffic Proximity Index,US EPA EJScreen 2024,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RLR5AX,,,,2020
EXPpctilePTRAF,Heavy Traffic Proximity Index statewide percentile,US EPA EJScreen 2024,,,,,2020
DWATER,Safe Drinking Water Act (SDWA) compliance performance score of a community water system ,US EPA EJScreen 2024,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RLR5AX,,,,2019 - 2023
EXPpctileDWATER,Safe Drinking Water Act (SDWA) compliance performance score statewide percentile ,US EPA EJScreen 2024,,,,,2019 - 2023
CancerRisk,Cumulative Lifetime Cancer Risk from Exposure to Air Toxics per million people,US EPA AirToxScreen,https://www.epa.gov/AirToxScreen/2020-airtoxscreen-assessment-results,,,,2020
EXPpctileCancerRisk,Cumulative Lifetime Cancer Risk from Exposure to Air Toxics statewide percentile,US EPA AirToxScreen,,,,,2020
Respiratory HI,"Non-Cancer Respiratory Hazard Index, ratio of exposure concentration to a reference concentration",US EPA AirToxScreen,https://www.epa.gov/AirToxScreen/2019-airtoxscreen-assessment-results,,,,2020
EXPpctileRespHI,Non-Cancer Respiratory Hazard Index statewide percentile,US EPA AirToxScreen,,,,,2020
cleanup_score,Weighted sum of cleanup sites requiring federal or state oversight for cleanup due to contamination,US EPA OLEM; US EPA ACRES; MassDEP C21E; MassDEP AUL,https://edg.epa.gov/data/PUBLIC/OLEM/OLEM-OSRTI/NPL_Boundaries.zip,https://catalog.data.gov/dataset/acres-brownfields-properties,https://www.mass.gov/info-details/massgis-data-massdep-tier-classified-oil-andor-hazardous-material-sites-mgl-c-21e,https://www.mass.gov/info-details/massgis-data-massdep-oil-andor-hazardous-material-sites-with-activity-and-use-limitations-aul,2024 - 2025
EFFCTpctileCleanup,Weighted sum of cleanup sites statewide percentile,US EPA OLEM; US EPA ACRES; MassDEP C21E; MassDEP AUL,,,,,2024 - 2025
gwater_score,Weighted sum of groundwater threats,US EPA UST Finder; MassDEP Groundwater Discharge Permits,https://epa.maps.arcgis.com/home/item.html?id=5a3ae0ed53564b6fa519f08e30e79e93,https://www.mass.gov/info-details/massgis-data-massdep-groundwater-discharge-permits,,,2024 - 2025
EFFCTpctileGrndWater,Weighted sum of groundwater threats statewide percentile,US EPA UST Finder; MassDEP Groundwater Discharge Permits,,,,,2024 - 2025
BWPScore,Weighted sum of hazardous waste facilities,MassDEP Major Facilities,https://www.mass.gov/info-details/massgis-data-massdep-major-facilities,,,,2024
EFFCTpctileBWPMAJOR_PT,Weighted sum of hazardous waste facilities statewide percentile,MassDEP Major Facilities,,,,,2024
SWScore,Weighted sum of solid waste facilities,MassDEP Solid Waste Diversion and Disposal,https://www.mass.gov/info-details/massgis-data-massdep-solid-waste-diversion-and-disposal,,,,2025
EFFCTpctileSW,Weighted sum of solid waste facilities statewide percentile,MassDEP Solid Waste Diversion and Disposal,,,,,2025
IL_count,Summed number of pollutants across impaired water bodies within the area,MassDEP 2022 Integrated List of Waters (305(b)/303(d)),https://www.mass.gov/info-details/massgis-data-massdep-2022-integrated-list-of-waters-305b303d,,,,2023
EFFCTpctileIL,Summed number of pollutants across impaired water bodies statewide percentile,MassDEP 2022 Integrated List of Waters (305(b)/303(d)),,,,,2023
High blood pressure among adults,High blood pressure crude prevalence among adults,CDC PLACES,https://data.cdc.gov/500-Cities-Places/PLACES-Local-Data-for-Better-Health-Census-Tract-D/cwsq-ngmh/about_data,,,,2024
SPpctileHPRSSR,High blood pressure crude prevalence statewide percentile,CDC PLACES,,,,,2024
Coronary heart disease among adults,Coronary Heart Disease crude prevalence among adults,CDC PLACES,https://data.cdc.gov/500-Cities-Places/PLACES-Local-Data-for-Better-Health-Census-Tract-D/cwsq-ngmh/about_data,,,,2024
SPpctileHRTDIS,Coronary Heart Disease  crude prevalence statewide percentile,CDC PLACES,,,,,2024
Chronic obstructive pulmonary disease among adults,Chronic Obstructive Pulmonary Disease crude prevalence among adults,CDC PLACES,https://data.cdc.gov/500-Cities-Places/PLACES-Local-Data-for-Better-Health-Census-Tract-D/cwsq-ngmh/about_data,,,,2024
SPpctileCOPD,Chronic Obstructive Pulmonary Disease  crude prevalence statewide percentile,CDC PLACES,,,,,2024
Cancer (non-skin) or melanoma among adults,Cancer crude prevalence among adults,CDC PLACES,https://data.cdc.gov/500-Cities-Places/PLACES-Local-Data-for-Better-Health-Census-Tract-D/cwsq-ngmh/about_data,,,,2024
SPpctileCANCER,Cancer crude prevalence statewide percentile,CDC PLACES,,,,,2024
pedAsthmaPrevalence,Pediatric Asthma Average prevalence (% of school enrollment),MDPH/BEH via DEP,https://www.mass.gov/info-details/cumulative-impact-analysis-in-air-quality-permitting#cia-guidance-and-tools-,,,,2014 - 2017
